traj,frame,time_ps,outcome,first_frame,state,score,SerO-C,C-Oleave,SerH-SerO,SerH-His,SerH-Oleave,His-Oleave
refined02_micro_relax_5cyc_rep8_1500step.nc,13,0.026000000000000002,tetint_basin,33,early_region,0.048995336588463965,2.083192825317383,1.8391586542129517,1.1051647663116455,1.4582972526550293,2.96830415725708,3.842419147491455
refined02_micro_relax_5cyc_rep8_1500step.nc,15,0.03,tetint_basin,33,early_region,0.04927241436662857,2.0841081142425537,1.8454195261001587,1.1999958753585815,1.3717749118804932,3.120182514190674,3.8720085620880127
refined02_micro_relax_5cyc_rep6_1500step.nc,2,0.004,tetint_basin,21,early_region,0.052471660644627764,1.9763768911361694,1.8812237977981567,1.1302601099014282,1.4666749238967896,2.671355962753296,3.5662074089050293
refined02_micro_relax_5cyc_rep8_1500step.nc,12,0.024,tetint_basin,33,early_region,0.05267988524332807,2.0805070400238037,1.8384979963302612,1.085604190826416,1.4786169528961182,2.899263858795166,3.8217034339904785
refined02_micro_relax_5cyc_rep6_1500step.nc,3,0.006,tetint_basin,21,early_region,0.05424353426370902,1.954176902770996,1.891178846359253,1.1165239810943604,1.4715309143066406,2.707489013671875,3.5623183250427246
refined02_micro_relax_5cyc_rep8_1500step.nc,11,0.022,tetint_basin,33,early_region,0.055011785268598797,2.074397563934326,1.838701844215393,1.0931484699249268,1.471732258796692,2.8569602966308594,3.800748586654663
refined02_micro_relax_5cyc_rep1_1500step.nc,6,0.012,tetint_basin,13,early_region,0.05505260050065218,1.9023523330688477,1.8993264436721802,1.2103021144866943,1.2724007368087769,2.7875447273254395,3.5598158836364746
refined02_micro_relax_5cyc_rep8_1500step.nc,16,0.032,tetint_basin,33,early_region,0.056704077918106895,2.0854530334472656,1.8501628637313843,1.2526562213897705,1.3257800340652466,3.1745834350585938,3.8797945976257324
refined02_micro_relax_5cyc_rep6_1500step.nc,4,0.008,tetint_basin,21,early_region,0.057110400957319715,1.9334958791732788,1.9042422771453857,1.1116714477539062,1.4687258005142212,2.7511425018310547,3.561549186706543
refined02_micro_relax_5cyc_rep8_1500step.nc,10,0.02,tetint_basin,33,early_region,0.057350944328522564,2.0688281059265137,1.8378716707229614,1.1086379289627075,1.4483699798583984,2.841493606567383,3.7784340381622314
refined02_micro_relax_5cyc_rep3_1500step.nc,21,0.042,none,,early_region,0.058533001906211524,2.187357187271118,1.8155180215835571,1.0441614389419556,1.7236136198043823,2.9130804538726807,3.8607428073883057
refined02_micro_relax_5cyc_rep3_1500step.nc,18,0.036000000000000004,none,,early_region,0.05862128158851409,2.125685691833496,1.8187891244888306,0.9776318669319153,1.743503212928772,2.9385809898376465,3.8356516361236572
refined02_micro_relax_5cyc_rep6_1500step.nc,5,0.01,tetint_basin,21,early_region,0.06039992710347202,1.9158740043640137,1.9188332557678223,1.1157501935958862,1.457519769668579,2.79548978805542,3.5632834434509277
refined02_micro_relax_5cyc_rep8_1500step.nc,9,0.018000000000000002,tetint_basin,33,early_region,0.06091627923824703,2.065929412841797,1.8371604681015015,1.1223833560943604,1.4142955541610718,2.857527494430542,3.754082679748535
refined02_micro_relax_5cyc_rep6_1500step.nc,6,0.012,tetint_basin,21,early_region,0.06376123443260737,1.9029524326324463,1.9351954460144043,1.1245237588882446,1.4440042972564697,2.8308143615722656,3.5671586990356445
refined02_micro_relax_5cyc_rep3_1500step.nc,20,0.04,none,,early_region,0.06420572571926247,2.1680660247802734,1.8207151889801025,1.0034778118133545,1.7476636171340942,2.928373336791992,3.85044527053833
refined02_micro_relax_5cyc_rep7_1500step.nc,8,0.016,reactant_basin,32,early_region,0.06586518816213563,2.0901575088500977,1.8445689678192139,1.0471810102462769,1.5148495435714722,2.804936170578003,3.6673755645751953
refined02_micro_relax_5cyc_rep6_1500step.nc,7,0.014,tetint_basin,21,early_region,0.06587850887393598,1.8984522819519043,1.950913429260254,1.1445456743240356,1.4208717346191406,2.844346761703491,3.5716712474823
refined02_micro_relax_5cyc_rep7_1500step.nc,7,0.014,reactant_basin,32,early_region,0.06624267711182764,2.0814871788024902,1.8374603986740112,1.0701680183410645,1.5007542371749878,2.7652480602264404,3.6520228385925293
refined02_micro_relax_5cyc_rep8_1500step.nc,23,0.046,tetint_basin,33,early_region,0.06632537322158245,2.071356773376465,1.9097882509231567,1.3774678707122803,1.3037775754928589,2.998145580291748,3.9385464191436768
refined02_micro_relax_5cyc_rep8_1500step.nc,8,0.016,tetint_basin,33,early_region,0.06648292386914009,2.0650975704193115,1.8359094858169556,1.138345718383789,1.3729275465011597,2.8887252807617188,3.7288718223571777
refined02_micro_relax_5cyc_rep8_1500step.nc,22,0.044,tetint_basin,33,early_region,0.06672605501692405,2.0803980827331543,1.8991416692733765,1.3675333261489868,1.2988085746765137,3.015094757080078,3.9244744777679443
refined02_micro_relax_5cyc_rep7_1500step.nc,12,0.024,reactant_basin,32,early_region,0.06678158535959915,2.1253750324249268,1.8566367626190186,1.036983609199524,1.595159649848938,2.9619834423065186,3.7366249561309814
refined02_micro_relax_5cyc_rep8_1500step.nc,17,0.034,tetint_basin,33,early_region,0.06731061654594121,2.089498996734619,1.856313943862915,1.3000164031982422,1.2856649160385132,3.2067813873291016,3.8839433193206787
refined02_micro_relax_5cyc_rep7_1500step.nc,13,0.026000000000000002,reactant_basin,32,early_region,0.0680418312113332,2.1308693885803223,1.8525868654251099,1.041722059249878,1.619989275932312,2.982982635498047,3.743624210357666
refined02_micro_relax_5cyc_rep7_1500step.nc,9,0.018000000000000002,reactant_basin,32,early_region,0.06812591457082626,2.0994105339050293,1.850898027420044,1.0206024646759033,1.5437812805175781,2.845177173614502,3.6860179901123047
